failure_mode_id,component_id,failure_mode,mechanism,cause,effect,pf_interval_note
165,55,Thermal Degradation,,,,
166,56,Sticking,,,,
167,56,Leakage,,,,
168,56,Spring Fatigue,,,,
169,57,Fatigue Crack,,,,
170,57,Journal Wear,,,,
171,58,Fatigue Spalling,,,,
172,58,Brinelling,,,,
173,58,Lubrication Starvation,,,,
174,58,Overheating,,,,
175,58,Corrosion,,,,
176,58,Contamination,,,,
177,59,Stator Winding Fault,,,,
178,59,Rotor Bar Crack,,,,
179,59,Bearing Failure,,,,
180,59,Insulation Breakdown,,,,
181,59,Overheating,,,,
182,60,Misalignment,,,,
183,60,Insert Wear,,,,
184,60,Backlash,,,,
185,60,Looseness,,,,
186,61,Imbalance,,,,
187,61,Cracking,,,,
188,62,Fatigue Spalling,,,,
189,62,Brinelling,,,,
190,62,Lubrication Starvation,,,,
191,62,Overheating,,,,
192,62,Corrosion,,,,
193,62,Contamination,,,,
194,63,Stator Winding Fault,,,,
195,63,Rotor Bar Crack,,,,
196,63,Bearing Failure,,,,
197,63,Insulation Breakdown,,,,
198,63,Overheating,,,,
199,64,Leakage,,,,
200,64,Wear,,,,
201,64,Chemical Attack,,,,
202,65,Erosion,,,,
203,65,Leakage,,,,
204,66,Looseness,,,,
205,66,Cracking,,,,
206,67,Imbalance,,,,
207,67,Cracking,,,,
208,68,Fatigue Spalling,,,,
209,68,Brinelling,,,,
210,68,Lubrication Starvation,,,,
211,68,Overheating,,,,
212,68,Corrosion,,,,
213,68,Contamination,,,,
214,69,Stator Winding Fault,,,,
215,69,Rotor Bar Crack,,,,
216,69,Bearing Failure,,,,
217,69,Insulation Breakdown,,,,
218,69,Overheating,,,,
219,70,Leakage,,,,
220,70,Wear,,,,
221,70,Chemical Attack,,,,
222,71,General Failure,,,,
223,72,Clogging,,,,
224,72,Tearing,,,,
225,73,Cracking,,,,
226,73,Corrosion,,,,
227,74,Leakage,,,,
228,74,Wear,,,,
229,74,Chemical Attack,,,,
230,75,Plugging,,,,
231,75,Drift,,,,
232,76,Fouling,,,,
233,76,Tearing,,,,
234,77,Cavitation,,,,
235,77,Seal Failure,,,,
236,78,Leakage,,,,
237,78,Sticking,,,,
238,79,Leakage,,,,
239,79,Sticking,,,,
240,80,Drift,,,,
241,80,Open Circuit,,,,
242,81,Cracking,,,,
243,81,Corrosion,,,,
244,82,Leakage,,,,
245,82,Wear,,,,
246,82,Swelling,,,,
247,83,Electrical Fault,,,,
248,83,Air Leak,,,,
249,83,Sticking,,,,
250,84,Calibration Drift,,,,
251,84,Stiction,,,,
252,85,Cracking,,,,
253,85,Corrosion,,,,
254,86,Leakage,,,,
255,86,Wear,,,,
256,86,Swelling,,,,
257,87,Electrical Fault,,,,
258,87,Air Leak,,,,
259,87,Sticking,,,,
260,88,Calibration Drift,,,,
261,88,Stiction,,,,
262,89,Stator Winding Fault,,,,
263,89,Rotor Bar Crack,,,,
264,89,Bearing Failure,,,,
265,89,Insulation Breakdown,,,,
266,89,Overheating,,,,
267,90,Fatigue Spalling,,,,
268,90,Brinelling,,,,
269,90,Lubrication Starvation,,,,
270,90,Overheating,,,,
271,90,Corrosion,,,,
272,90,Contamination,,,,
273,91,Leakage,,,,
274,91,Sticking,,,,
275,92,Leakage,,,,
276,92,Sticking,,,,
277,93,Clogging,,,,
278,93,Leakage,,,,
279,94,Imbalance,,,,
280,94,Blade Damage,,,,
281,95,Stator Winding Fault,,,,
282,95,Rotor Bar Crack,,,,
283,95,Bearing Failure,,,,
284,95,Insulation Breakdown,,,,
285,95,Overheating,,,,
286,96,Fatigue Spalling,,,,
287,96,Brinelling,,,,
288,96,Lubrication Starvation,,,,
289,96,Overheating,,,,
290,96,Corrosion,,,,
291,96,Contamination,,,,
292,97,General Failure,,,,
293,98,General Failure,,,,
294,99,Clogging,,,,
295,99,Leakage,,,,
296,100,Imbalance,,,,
297,100,Blade Damage,,,,
298,101,General Failure,,,,
299,102,Fouling,,,,
300,102,Leakage,,,,
301,103,Fouling,,,,
302,103,Leakage,,,,
303,104,Cavitation,,,,
304,104,Overheating,,,,
305,104,Seal Failure,,,,
306,105,Sticking,,,,
307,105,Incorrect Superheat,,,,
308,106,Firmware Fault,,,,
309,106,Power Supply Failure,,,,
310,107,Imbalance,,,,
311,107,Bearing Failure,,,,
312,108,Scaling,,,,
313,108,Blockage,,,,
314,109,Damage,,,,
315,109,Blockage,,,,
316,110,Cavitation,,,,
317,110,Overheating,,,,
318,110,Seal Failure,,,,
319,111,Tooth Wear,,,,
320,111,Overheating,,,,
321,111,Lubrication Failure,,,,
322,112,Stator Winding Fault,,,,
323,112,Rotor Bar Crack,,,,
324,112,Bearing Failure,,,,
325,112,Insulation Breakdown,,,,
326,112,Overheating,,,,
327,113,Corrosion,,,,
328,113,Cracking,,,,
329,114,Imbalance,,,,
330,114,Seal Leakage,,,,
331,115,Leakage,,,,
332,115,Sticking,,,,
333,116,Drift,,,,
334,116,Open Circuit,,,,
335,116,Noise,,,,
336,117,Gasket Leak,,,,
337,117,Latch Failure,,,,
338,118,Clogging,,,,
339,118,Wear,,,,
340,119,Corrosion,,,,
341,119,Cracking,,,,
342,120,Imbalance,,,,
343,120,Seal Leakage,,,,
344,121,Drift,,,,
345,121,Open Circuit,,,,
346,121,Noise,,,,
347,122,Leakage,,,,
348,122,Sticking,,,,
349,123,General Failure,,,,
350,124,Corrosion,,,,
351,124,Cracking,,,,
352,125,Drift,,,,
353,125,Open Circuit,,,,
354,125,Noise,,,,
355,126,Leakage,,,,
356,126,Sticking,,,,
357,127,General Failure,,,,
358,128,Imbalance,,,,
359,128,Seal Leakage,,,,
360,129,Leakage,,,,
361,129,Scaling,,,,
362,130,Drift,,,,
363,130,Open Circuit,,,,
364,130,Noise,,,,
365,131,Leakage,,,,
366,131,Sticking,,,,
367,132,Drift,,,,
368,132,Open Circuit,,,,
369,133,Stator Winding Fault,,,,
370,133,Rotor Bar Crack,,,,
371,133,Bearing Failure,,,,
372,133,Insulation Breakdown,,,,
373,133,Overheating,,,,
374,134,Wear,,,,
375,134,Misalignment,,,,
376,135,Erosion,,,,
377,135,Crack,,,,
378,136,Leakage,,,,
379,136,Wear,,,,
380,136,Swelling,,,,
381,137,Imbalance,,,,
382,137,Nozzle Clogging,,,,
383,137,Erosion,,,,
384,138,Erosion,,,,
385,138,Plugging,,,,
386,139,Imbalance,,,,
387,139,Bearing Failure,,,,
388,140,Overheating,,,,
389,140,Scaling,,,,
390,140,Element Failure,,,,
391,141,Clogging,,,,
392,141,Tearing,,,,
393,142,Motor Failure,,,,
394,142,Looseness,,,,
395,143,Imbalance,,,,
396,143,Bearing Failure,,,,
397,144,Overheating,,,,
398,144,Scaling,,,,
399,144,Element Failure,,,,
400,145,Clogging,,,,
401,145,Tearing,,,,
402,146,Motor Failure,,,,
403,146,Looseness,,,,
404,147,Cracking,,,,
405,147,Wear,,,,
406,148,Fouling,,,,
407,148,Cracking,,,,
408,148,Corrosion,,,,
409,149,Cavitation,,,,
410,149,Overheating,,,,
411,149,Seal Failure,,,,
412,150,Foaming,,,,
413,150,Carryover,,,,
414,151,Leakage,,,,
415,151,Pump Failure,,,,
416,152,Drift,,,,
417,152,Sticking,,,,
418,153,Imbalance,,,,
419,153,Seal Leakage,,,,
420,154,Leakage,,,,
421,154,Scaling,,,,
422,155,Leakage,,,,
423,155,Sticking,,,,
424,156,Dulling,,,,
425,156,Fracture,,,,
426,157,Drift,,,,
427,157,Open Circuit,,,,
428,158,General Failure,,,,
429,159,Crack,,,,
430,159,Distortion,,,,
431,160,General Failure,,,,
432,161,Cavitation,,,,
433,161,Overheating,,,,
434,161,Seal Failure,,,,
435,162,Drift,,,,
436,162,Bourdon Tube Failure,,,,
437,163,Drip Leakage,,,,
438,163,Wear,,,,
439,163,Misfill,,,,
440,164,Belt Slip,,,,
441,164,Motor Overload,,,,
442,164,Tracker Misalign,,,,
443,165,Open Circuit,,,,
444,165,False Trip,,,,
445,165,Drift,,,,
446,166,Drift,,,,
447,166,Open Circuit,,,,
448,167,Wear,,,,
449,167,Misalignment,,,,
450,168,Leakage,,,,
451,168,Cracking,,,,
452,169,Drip Leakage,,,,
453,169,Wear,,,,
454,169,Misfill,,,,
455,170,Seal Weak,,,,
456,170,Temperature Drift,,,,
457,171,Open Circuit,,,,
458,171,False Trip,,,,
459,171,Drift,,,,
460,172,Jamming,,,,
461,172,Skew,,,,
462,173,Overheating,,,,
463,173,Electrical Fault,,,,
464,174,Misfold,,,,
465,174,Jamming,,,,
466,175,Drip Leakage,,,,
467,175,Wear,,,,
468,175,Misfill,,,,
469,176,Seal Weak,,,,
470,176,Temperature Drift,,,,
471,177,Belt Slip,,,,
472,177,Motor Overload,,,,
473,177,Tracker Misalign,,,,
474,178,Open Circuit,,,,
475,178,False Trip,,,,
476,178,Drift,,,,
477,179,General Failure,,,,
478,180,Belt Slip,,,,
479,180,Motor Overload,,,,
480,180,Tracker Misalign,,,,
481,181,Open Circuit,,,,
482,181,False Trip,,,,
483,181,Drift,,,,
484,182,Head Clog,,,,
485,182,Encoder Fault,,,,
486,183,Wear,,,,
487,183,Slip,,,,
488,184,Jamming,,,,
489,184,Misfeed,,,,
490,185,Drift,,,,
491,185,Over-Torque,,,,
492,186,Belt Slip,,,,
493,186,Motor Overload,,,,
494,186,Tracker Misalign,,,,
495,187,Open Circuit,,,,
496,187,False Trip,,,,
497,187,Drift,,,,
498,188,General Failure,,,,
499,189,Stator Winding Fault,,,,
500,189,Rotor Bar Crack,,,,
501,189,Bearing Failure,,,,
502,189,Insulation Breakdown,,,,
503,189,Overheating,,,,
504,190,General Failure,,,,
505,191,Tooth Wear,,,,
506,191,Overheating,,,,
507,191,Lubrication Failure,,,,
508,192,General Failure,,,,
509,193,Open Circuit,,,,
510,193,False Trip,,,,
511,193,Drift,,,,
512,194,Vacuum Loss,,,,
513,194,Mis-pick,,,,
514,195,Belt Slip,,,,
515,195,Motor Overload,,,,
516,195,Tracker Misalign,,,,
517,196,Open Circuit,,,,
518,196,False Trip,,,,
519,196,Drift,,,,
520,197,Crack,,,,
521,197,Distortion,,,,
522,198,Air Leak,,,,
523,198,Regulator Fault,,,,
524,199,Joint Backlash,,,,
525,199,Encoder Fault,,,,
526,200,Grip Loss,,,,
527,200,Wear,,,,
528,201,Belt Slip,,,,
529,201,Motor Overload,,,,
530,201,Tracker Misalign,,,,
531,202,Firmware Fault,,,,
532,202,Power Supply Failure,,,,
533,203,Switch Fault,,,,
534,203,Damage,,,,
535,204,Open Circuit,,,,
536,204,Moisture Ingress,,,,
537,205,Belt Slip,,,,
538,205,Motor Overload,,,,
539,205,Tracker Misalign,,,,
540,206,Fail to Reject,,,,
541,206,Actuator Fault,,,,
542,207,Firmware Fault,,,,
543,207,Power Supply Failure,,,,
544,208,Tube Wear,,,,
545,208,Overheat,,,,
546,209,Noise,,,,
547,209,Dead Pixel,,,,
548,210,Belt Slip,,,,
549,210,Motor Overload,,,,
550,210,Tracker Misalign,,,,
551,211,Firmware Fault,,,,
552,211,Power Supply Failure,,,,
553,212,Fail to Reject,,,,
554,212,Actuator Fault,,,,
555,213,Flame Failure,,,,
556,213,No Ignition,,,,
557,214,Scaling,,,,
558,214,Cracking,,,,
559,215,Leakage,,,,
560,215,Sticking,,,,
561,216,Cavitation,,,,
562,216,Seal Leakage,,,,
563,217,Float Stuck,,,,
564,217,Sensor Fault,,,,
565,218,Cracking,,,,
566,218,Corrosion,,,,
567,219,Erosion,,,,
568,219,Plugging,,,,
569,220,Clogging,,,,
570,220,Corrosion,,,,
571,221,General Failure,,,,
572,222,Cavitation,,,,
573,222,Overheating,,,,
574,222,Seal Failure,,,,
575,223,Drift,,,,
576,223,Sticking,,,,
577,224,Channeling,,,,
578,224,Leakage,,,,
579,225,Salt Bridge,,,,
580,225,Leakage,,,,
581,226,Sticking,,,,
582,226,Leakage,,,,
583,227,Fouling,,,,
584,227,Tearing,,,,
585,228,Seal Failure,,,,
586,228,Cavitation,,,,
587,229,Leak,,,,
588,229,Crack,,,,
589,230,Drift,,,,
590,230,Plugging,,,,
591,231,Leakage,,,,
592,231,Sticking,,,,
593,232,Imbalance,,,,
594,232,Cracking,,,,
595,233,Fatigue Spalling,,,,
596,233,Brinelling,,,,
597,233,Lubrication Starvation,,,,
598,233,Overheating,,,,
599,233,Corrosion,,,,
600,233,Contamination,,,,
601,234,Stator Winding Fault,,,,
602,234,Rotor Bar Crack,,,,
603,234,Bearing Failure,,,,
604,234,Insulation Breakdown,,,,
605,234,Overheating,,,,
606,235,Sticking,,,,
607,235,Imbalance,,,,
608,236,Misfeed,,,,
609,236,Jamming,,,,
610,237,Misform,,,,
611,237,Wear,,,,
612,238,Belt Slip,,,,
613,238,Motor Overload,,,,
614,238,Tracker Misalign,,,,
615,239,Seal Weak,,,,
616,239,Temperature Drift,,,,
617,240,Open Circuit,,,,
618,240,False Trip,,,,
619,240,Drift,,,,
620,241,Imbalance,,,,
621,241,Motor Fault,,,,
622,242,Tension Fault,,,,
623,242,Jamming,,,,
624,243,Deformation,,,,
625,243,Wear,,,,
626,244,Firmware Fault,,,,
627,244,Power Supply Failure,,,,
628,245,Nozzle Clog,,,,
629,245,Alignment Drift,,,,
630,246,Viscosity Drift,,,,
631,246,Air Ingress,,,,
632,247,Firmware Fault,,,,
633,247,Power Supply Failure,,,,
634,248,Belt Slip,,,,
635,248,Motor Overload,,,,
636,248,Tracker Misalign,,,,
637,249,Drift,,,,
638,249,Noise,,,,
639,250,Belt Slip,,,,
640,250,Motor Overload,,,,
641,250,Tracker Misalign,,,,
642,251,Firmware Fault,,,,
643,251,Power Supply Failure,,,,
644,252,Fail to Reject,,,,
645,252,Actuator Fault,,,,
646,253,Erosion,,,,
647,253,Cavitation Pitting,,,,
648,253,Cracking,,,,
649,253,Imbalance,,,,
650,254,General Failure,,,,
651,255,Primary Ring Wear,,,,
652,255,Secondary Seal Leakage,,,,
653,255,Face Thermal Deformation,,,,
654,255,O-Ring Swell,,,,
655,256,Fatigue Spalling,,,,
656,256,Brinelling,,,,
657,256,Lubrication Starvation,,,,
658,256,Overheating,,,,
659,256,Corrosion,,,,
660,256,Contamination,,,,
661,257,Wear,,,,
662,257,Misalignment,,,,
663,258,Misalignment,,,,
664,258,Insert Wear,,,,
665,258,Backlash,,,,
666,258,Looseness,,,,
667,259,Stator Winding Fault,,,,
668,259,Rotor Bar Crack,,,,
669,259,Bearing Failure,,,,
670,259,Insulation Breakdown,,,,
671,259,Overheating,,,,
672,260,Looseness,,,,
673,260,Corrosion,,,,
674,260,Foundation Crack,,,,
675,261,Erosion,,,,
676,261,Cavitation Pitting,,,,
677,261,Cracking,,,,
678,261,Imbalance,,,,
679,262,General Failure,,,,
680,263,Primary Ring Wear,,,,
681,263,Secondary Seal Leakage,,,,
682,263,Face Thermal Deformation,,,,
683,263,O-Ring Swell,,,,
684,264,Fatigue Spalling,,,,
685,264,Brinelling,,,,
686,264,Lubrication Starvation,,,,
687,264,Overheating,,,,
688,264,Corrosion,,,,
689,264,Contamination,,,,
690,265,Wear,,,,
691,265,Misalignment,,,,
692,266,Misalignment,,,,
693,266,Insert Wear,,,,
694,266,Backlash,,,,
695,266,Looseness,,,,
696,267,Stator Winding Fault,,,,
697,267,Rotor Bar Crack,,,,
698,267,Bearing Failure,,,,
699,267,Insulation Breakdown,,,,
700,267,Overheating,,,,
701,268,Looseness,,,,
702,268,Corrosion,,,,
703,268,Foundation Crack,,,,
704,269,Erosion,,,,
705,269,Cavitation Pitting,,,,
706,269,Cracking,,,,
707,269,Imbalance,,,,
708,270,General Failure,,,,
709,271,Primary Ring Wear,,,,
710,271,Secondary Seal Leakage,,,,
711,271,Face Thermal Deformation,,,,
712,271,O-Ring Swell,,,,
713,272,Fatigue Spalling,,,,
714,272,Brinelling,,,,
715,272,Lubrication Starvation,,,,
716,272,Overheating,,,,
717,272,Corrosion,,,,
718,272,Contamination,,,,
719,273,Wear,,,,
720,273,Misalignment,,,,
721,274,Misalignment,,,,
722,274,Insert Wear,,,,
723,274,Backlash,,,,
724,274,Looseness,,,,
725,275,Stator Winding Fault,,,,
726,275,Rotor Bar Crack,,,,
727,275,Bearing Failure,,,,
728,275,Insulation Breakdown,,,,
729,275,Overheating,,,,
730,276,Looseness,,,,
731,276,Corrosion,,,,
732,276,Foundation Crack,,,,
733,277,Fouling,,,,
734,277,Corrosion,,,,
735,277,Cracking,,,,
736,277,Deformation,,,,
737,278,Compression Set,,,,
738,278,Chemical Attack,,,,
739,278,Extrusion,,,,
740,278,Creep,,,,
741,279,Crack,,,,
742,279,Distortion,,,,
743,280,Leakage,,,,
744,280,Thread Damage,,,,
745,281,Yielding,,,,
746,281,Thread Galling,,,,
747,282,Fouling,,,,
748,282,Corrosion,,,,
749,282,Cracking,,,,
750,282,Deformation,,,,
751,283,Compression Set,,,,
752,283,Chemical Attack,,,,
753,283,Extrusion,,,,
754,283,Creep,,,,
755,284,Crack,,,,
756,284,Distortion,,,,
757,285,Leakage,,,,
758,285,Thread Damage,,,,
759,286,Yielding,,,,
760,286,Thread Galling,,,,
761,287,Cavitation,,,,
762,287,Overheating,,,,
763,287,Seal Failure,,,,
764,288,Clogging,,,,
765,288,Wear,,,,
766,289,Seat Leakage,,,,
767,289,Sticking,,,,
768,289,Actuator Failure,,,,
769,290,Corrosion,,,,
770,290,Cracking,,,,
771,291,Corrosion,,,,
772,291,Cracking,,,,
773,292,PLC Fault,,,,
774,292,Power Supply Failure,,,,
775,292,I/O Card Failure,,,,
776,293,Calibration Drift,,,,
777,293,Sensor Failure,,,,
778,294,Drift,,,,
779,294,Open Circuit,,,,
780,295,Cavitation,,,,
781,295,Overheating,,,,
782,295,Seal Failure,,,,
783,296,Seat Leakage,,,,
784,296,Sticking,,,,
785,296,Actuator Failure,,,,
786,297,General Failure,,,,
787,298,Seal Leakage,,,,
788,298,Diaphragm Failure,,,,
789,299,PLC Fault,,,,
790,299,Power Supply Failure,,,,
791,299,I/O Card Failure,,,,
792,300,Wear,,,,
793,300,Crack,,,,
794,301,Leakage,,,,
795,301,Sticking,,,,
796,302,Scoring,,,,
797,302,Seal Wear,,,,
798,303,Leakage,,,,
799,303,Wear,,,,
800,303,Chemical Attack,,,,
801,304,Drift,,,,
802,304,Bourdon Tube Failure,,,,
803,305,Overheating,,,,
804,305,Electrical Fault,,,,
805,306,Wear,,,,
806,306,Scoring,,,,
807,306,Fracture,,,,
808,307,Leakage,,,,
809,307,Extrusion,,,,
810,307,Thermal Degradation,,,,
811,308,Sticking,,,,
812,308,Leakage,,,,
813,308,Spring Fatigue,,,,
814,309,Fatigue Crack,,,,
815,309,Journal Wear,,,,
816,310,Fatigue Spalling,,,,
817,310,Brinelling,,,,
818,310,Lubrication Starvation,,,,
819,310,Overheating,,,,
820,310,Corrosion,,,,
821,310,Contamination,,,,
822,311,Stator Winding Fault,,,,
823,311,Rotor Bar Crack,,,,
824,311,Bearing Failure,,,,
825,311,Insulation Breakdown,,,,
826,311,Overheating,,,,
827,312,Misalignment,,,,
828,312,Insert Wear,,,,
829,312,Backlash,,,,
830,312,Looseness,,,,
831,313,Imbalance,,,,
832,313,Cracking,,,,
833,314,Fatigue Spalling,,,,
834,314,Brinelling,,,,
835,314,Lubrication Starvation,,,,
836,314,Overheating,,,,
837,314,Corrosion,,,,
838,314,Contamination,,,,
839,315,Stator Winding Fault,,,,
840,315,Rotor Bar Crack,,,,
841,315,Bearing Failure,,,,
842,315,Insulation Breakdown,,,,
843,315,Overheating,,,,
844,316,Leakage,,,,
845,316,Wear,,,,
846,316,Chemical Attack,,,,
847,317,Erosion,,,,
848,317,Leakage,,,,
849,318,Looseness,,,,
850,318,Cracking,,,,
851,319,Imbalance,,,,
852,319,Cracking,,,,
853,320,Fatigue Spalling,,,,
854,320,Brinelling,,,,
855,320,Lubrication Starvation,,,,
856,320,Overheating,,,,
857,320,Corrosion,,,,
858,320,Contamination,,,,
859,321,Stator Winding Fault,,,,
860,321,Rotor Bar Crack,,,,
861,321,Bearing Failure,,,,
862,321,Insulation Breakdown,,,,
863,321,Overheating,,,,
864,322,Leakage,,,,
865,322,Wear,,,,
866,322,Chemical Attack,,,,
867,323,General Failure,,,,
868,324,Clogging,,,,
869,324,Tearing,,,,
870,325,Cracking,,,,
871,325,Corrosion,,,,
872,326,Leakage,,,,
873,326,Wear,,,,
874,326,Chemical Attack,,,,
875,327,Plugging,,,,
876,327,Drift,,,,
877,328,Fouling,,,,
878,328,Tearing,,,,
879,329,Cavitation,,,,
880,329,Seal Failure,,,,
881,330,Leakage,,,,
882,330,Sticking,,,,
883,331,Leakage,,,,
884,331,Sticking,,,,
885,332,Drift,,,,
886,332,Open Circuit,,,,
887,333,Cracking,,,,
888,333,Corrosion,,,,
889,334,Leakage,,,,
890,334,Wear,,,,
891,334,Swelling,,,,
892,335,Electrical Fault,,,,
893,335,Air Leak,,,,
894,335,Sticking,,,,
895,336,Calibration Drift,,,,
896,336,Stiction,,,,
897,337,Cracking,,,,
898,337,Corrosion,,,,
899,338,Leakage,,,,
900,338,Wear,,,,
901,338,Swelling,,,,
902,339,Electrical Fault,,,,
903,339,Air Leak,,,,
904,339,Sticking,,,,
905,340,Calibration Drift,,,,
906,340,Stiction,,,,
907,341,Stator Winding Fault,,,,
908,341,Rotor Bar Crack,,,,
909,341,Bearing Failure,,,,
910,341,Insulation Breakdown,,,,
911,341,Overheating,,,,
912,342,Fatigue Spalling,,,,
913,342,Brinelling,,,,
914,342,Lubrication Starvation,,,,
915,342,Overheating,,,,
916,342,Corrosion,,,,
917,342,Contamination,,,,
918,343,Leakage,,,,
919,343,Sticking,,,,
920,344,Leakage,,,,
921,344,Sticking,,,,
922,345,Clogging,,,,
923,345,Leakage,,,,
924,346,Imbalance,,,,
925,346,Blade Damage,,,,
926,347,Stator Winding Fault,,,,
927,347,Rotor Bar Crack,,,,
928,347,Bearing Failure,,,,
929,347,Insulation Breakdown,,,,
930,347,Overheating,,,,
931,348,Fatigue Spalling,,,,
932,348,Brinelling,,,,
933,348,Lubrication Starvation,,,,
934,348,Overheating,,,,
935,348,Corrosion,,,,
936,348,Contamination,,,,
937,349,General Failure,,,,
938,350,General Failure,,,,
939,351,Clogging,,,,
940,351,Leakage,,,,
941,352,Imbalance,,,,
942,352,Blade Damage,,,,
943,353,General Failure,,,,
944,354,Fouling,,,,
945,354,Leakage,,,,
946,355,Fouling,,,,
947,355,Leakage,,,,
948,356,Cavitation,,,,
949,356,Overheating,,,,
950,356,Seal Failure,,,,
951,357,Sticking,,,,
952,357,Incorrect Superheat,,,,
953,358,Firmware Fault,,,,
954,358,Power Supply Failure,,,,
955,359,Imbalance,,,,
956,359,Bearing Failure,,,,
957,360,Scaling,,,,
958,360,Blockage,,,,
959,361,Damage,,,,
960,361,Blockage,,,,
961,362,Cavitation,,,,
962,362,Overheating,,,,
